localidad,provincia,region,temporada,max_capturas,mean_capturas,n_lecturas,n_detecciones,target
copo quiles,Salta,NOA,2024-2025,4464.0,322.5762711864407,59,27,1
copo quiles,Salta,NOA,2025-2026,4464.0,540.2121212121212,33,24,1
coronel baigorria,Córdoba,CENTRO SUR,2024-2025,37.0,3.581818181818182,55,8,1
coronel baigorria,Córdoba,CENTRO SUR,2025-2026,18.0,1.574468085106383,47,15,1
coronel dorrego,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,56,0,0
coronel dorrego,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,41,0,0
coronel moldes,Córdoba,CENTRO SUR,2024-2025,18.0,2.4833333333333334,60,18,1
coronel moldes,Córdoba,CENTRO SUR,2025-2026,18.0,2.4390243902439024,41,14,1
coronel rico,Santiago Del Estero,NEA,2025-2026,5.0,0.9259259259259259,27,9,1
coronel suarez,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,56,0,0
coronel suarez,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,50,0,0
corral de bustos,Córdoba,CENTRO SUR,2024-2025,46.0,3.9272727272727272,55,9,1
corral de bustos,Córdoba,CENTRO SUR,2025-2026,20.0,2.823529411764706,17,6,1
corralito,Córdoba,CENTRO NORTE,2024-2025,360.0,37.67272727272727,55,27,1
corralito,Córdoba,CENTRO NORTE,2025-2026,360.0,26.425531914893618,47,29,1
corralito,Uruguay,URUGUAY,2025-2026,0.0,0.0,4,0,0
corrientes,Corrientes,LITORAL,2024-2025,212.0,42.28813559322034,59,38,1
corrientes,Corrientes,LITORAL,2025-2026,89.0,17.833333333333332,48,30,1
crespo,Entre Ríos,LITORAL,2024-2025,34.0,6.8,5,1,1
crespo,Entre Ríos,LITORAL,2025-2026,4.0,0.2127659574468085,47,3,0
crispi,Santa Fe,CENTRO NORTE,2024-2025,646.0,56.61538461538461,52,19,1
crispi,Santa Fe,CENTRO NORTE,2025-2026,646.0,28.38095238095238,42,16,1
cuatro bocas,Santiago Del Estero,NEA,2024-2025,495.0,43.0,37,13,1
cuatro bocas,Santiago Del Estero,NEA,2025-2026,25.0,0.9259259259259259,27,1,1
cuatro vientos,Córdoba,CENTRO SUR,2024-2025,25.0,5.566666666666666,60,39,1
cuatro vientos,Córdoba,CENTRO SUR,2025-2026,25.0,1.6595744680851063,47,16,1
cuchilla del perdido,,URUGUAY,2024-2025,0.0,0.0,2,0,0
cuchilla del perdido,Uruguay,URUGUAY,2024-2025,2.0,0.375,8,2,0
cura malal,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,54,0,0
cura malal,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,50,0,0
curuzú,Corrientes,LITORAL,2025-2026,642.0,115.92307692307692,26,23,1
daireaux,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,55,0,0
daireaux,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,11,0,0
de isletas,Entre Ríos,LITORAL,2024-2025,0.0,0.0,3,0,0
